iter	Passed	Remaining
329	8824	17916
330	8840	17868
331	8866	17839
332	8892	17811
333	8915	17777
334	8945	17756
335	8969	17726
336	9000	17707
337	9027	17681
338	9047	17640
339	9072	17612
340	9096	17580
341	9123	17552
342	9145	17518
343	9175	17497
344	9200	17467
345	9223	17434
346	9250	17407
347	9276	17380
348	9299	17346
349	9321	17310
350	9350	17289
351	9379	17266
352	9406	17240
353	9435	17218
354	9463	17194
355	9481	17151
356	9509	17127
357	9530	17090
358	9552	17056
359	9573	17018
360	9603	16998
361	9626	16966
362	9654	16941
363	9677	16909
364	9712	16896
365	9744	16880
366	9773	16857
367	9797	16826
368	9821	16794
369	9848	16768
370	9874	16741
371	9906	16723
372	9928	16689
373	9953	16660
374	9983	16639
375	10010	16613
376	10037	16586
377	10064	16561
378	10092	16536
379	10123	16517
380	10152	16494
381	10180	16469
382	10208	16445
383	10237	16421
384	10256	16384
385	10284	16358
386	10306	16325
387	10332	16296
388	10355	16264
389	10380	16236
390	10401	16200
391	10428	16174
392	10457	16151
393	10480	16119
394	10505	16091
395	10534	16067
396	10561	16041
397	10586	16013
398	10609	15980
399	10636	15954
400	10661	15925
401	10689	15901
402	10718	15878
403	10746	15853
404	10774	15829
405	10799	15799
406	10826	15773
407	10851	15745
408	10879	15721
409	10906	15694
410	10937	15673
411	10965	15650
412	10984	15611
413	11013	15589
414	11041	15565
415	11065	15534
416	11091	15506
417	11118	15481
418	11147	15457
419	11172	15428
420	11199	15402
421	11227	15377
422	11254	15351
423	11278	15322
424	11307	15298
425	11337	15275
426	11358	15242
427	11383	15213
428	11408	15185
429	11437	15161
430	11462	15132
431	11489	15106
432	11517	15081
433	11545	15056
434	11573	15032
435	11597	15001
436	11624	14975
437	11648	14946
438	11675	14920
439	11700	14891
440	11722	14859
441	11753	14837
442	11776	14807
443	11803	14780
444	11831	14755
445	11857	14728
446	11883	14701
447	11913	14678
448	11941	14653
449	11968	14628
450	11997	14604
451	12022	14575
452	12046	14546
453	12070	14516
454	12094	14486
455	12120	14459
456	12145	14431
457	12171	14403
458	12194	14372
459	12220	14345
460	12243	14314
461	12269	14288
462	12296	14262
463	12321	14233
464	12345	14203
465	12366	14170
466	12396	14148
467	12421	14120
468	12442	14087
469	12468	14060
470	12490	14028
471	12513	13998
472	12540	13971
473	12564	13943
474	12590	13915
475	12617	13890
476	12645	13864
477	12672	13838
478	12697	13811
479	12723	13783
480	12750	13757
481	12778	13732
482	12804	13705
483	12827	13675
484	12856	13652
485	12880	13623
486	12909	13598
487	12936	13572
488	12966	13550
489	12993	13524
490	13023	13500
491	13047	13472
492	13074	13445
493	13098	13416
494	13125	13390
495	13149	13361
496	13176	13335
497	13205	13312
498	13230	13283
499	13252	13252
500	13279	13226
501	13306	13200
502	13333	13174
503	13356	13144
504	13381	13116
505	13405	13087
506	13433	13062
507	13460	13036
508	13485	13008
509	13507	12977
510	13531	12949
511	13555	12920
512	13581	12893
513	13609	12868
514	13636	12842
515	13659	12812
516	13683	12784
517	13704	12751
518	13725	12720
519	13747	12690
520	13772	12662
521	13794	12632
522	13818	12603
523	13845	12576
524	13863	12543
525	13889	12516
526	13917	12491
527	13942	12463
528	13967	12436
529	13993	12409
530	14021	12383
531	14046	12356
532	14073	12330
533	14095	12300
534	14123	12275
535	14147	12247
536	14173	12220
537	14194	12189
538	14221	12163
539	14251	12139
540	14277	12113
541	14303	12086
542	14330	12060
543	14354	12032
544	14381	12006
545	14406	11979
546	14430	11950
547	14457	11924
548	14482	11897
549	14506	11868
550	14531	11841
551	14559	11816
552	14586	11790
553	14609	11761
554	14634	11733
555	14657	11705
556	14684	11678
557	14708	11650
558	14729	11620
559	14756	11594
560	14781	11567
561	14808	11541
562	14835	11515
563	14857	11485
564	14885	11460
565	14912	11434
566	14939	11408
567	14964	11381
568	14990	11354
569	15014	11326
570	15039	11299
571	15061	11269
572	15089	11244
573	15114	11217
574	15137	11188
575	15165	11163
576	15196	11140
577	15220	11112
578	15243	11083
579	15269	11057
580	15292	11028
581	15315	10999
582	15343	10974
583	15367	10947
584	15394	10921
585	15417	10892
586	15440	10863
587	15466	10836
588	15490	10809
589	15512	10780
590	15535	10751
591	15557	10722
592	15579	10692
593	15604	10665
594	15624	10635
595	15650	10608
596	15676	10582
597	15700	10554
598	15727	10528
599	15753	10502
600	15777	10474
601	15804	10448
602	15826	10419
603	15850	10391
604	15873	10363
605	15904	10340
606	15930	10314
607	15954	10286
608	15978	10258
609	16004	10232
610	16033	10207
611	16050	10176
612	16077	10150
613	16102	10123
614	16122	10093
615	16150	10067
616	16175	10041
617	16198	10012
618	16222	9985
619	16242	9954
620	16270	9929
621	16290	9899
622	16312	9871
623	16336	9843
624	16359	9815
625	16385	9789
626	16409	9762
627	16436	9736
628	16462	9710
629	16483	9680
630	16508	9654
631	16533	9627
632	16561	9601
633	16580	9571
634	16608	9546
635	16631	9518
636	16657	9492
637	16676	9462
638	16706	9438
639	16733	9412
640	16758	9385
641	16778	9356
642	16799	9327
643	16820	9298
644	16845	9271
645	16866	9242
646	16892	9216
647	16914	9188
648	16939	9161
649	16964	9134
650	16983	9104
651	17006	9076
652	17027	9048
653	17051	9021
654	17072	8992
655	17095	8964
656	17117	8936
657	17140	8908
658	17166	8882
659	17190	8855
660	17213	8828
661	17239	8802
662	17266	8776
663	17289	8748
664	17309	8719
665	17332	8692
666	17360	8667
667	17385	8640
668	17408	8613
669	17429	8584
670	17454	8558
671	17478	8530
672	17502	8504
673	17523	8475
674	17542	8446
675	17567	8419
676	17593	8393
677	17614	8365
678	17637	8338
679	17663	8312
680	17688	8285
681	17712	8258
682	17735	8231
683	17756	8203
684	17782	8177
685	17804	8149
686	17830	8123
687	17852	8096
688	17874	8067
689	17894	8039
690	17913	8010
691	17938	7984
692	17961	7957
693	17988	7931
694	18017	7906
695	18039	7879
696	18061	7851
697	18083	7823
698	18103	7795
699	18125	7768
700	18154	7743
701	18172	7714
702	18195	7687
703	18214	7658
704	18235	7630
705	18261	7604
706	18286	7578
707	18309	7551
708	18335	7525
709	18362	7500
710	18384	7472
711	18404	7444
712	18426	7417
713	18450	7390
714	18469	7361
715	18491	7334
716	18514	7307
717	18540	7282
718	18566	7256
719	18587	7228
720	18612	7202
721	18636	7175
722	18654	7146
723	18674	7118
724	18699	7092
725	18726	7067
726	18750	7040
727	18776	7015
728	18804	6990
729	18825	6963
730	18852	6937
731	18879	6912
732	18903	6885
733	18928	6859
734	18948	6831
735	18971	6804
736	18999	6780
737	19025	6754
738	19048	6727
739	19072	6701
740	19096	6674
741	19119	6648
742	19141	6620
743	19165	6594
744	19188	6567
745	19208	6540
746	19225	6511
747	19245	6483
748	19268	6457
749	19290	6430
750	19314	6403
751	19333	6376
752	19357	6349
753	19380	6323
754	19406	6297
755	19433	6272
756	19461	6247
757	19484	6220
758	19509	6194
759	19531	6167
760	19557	6142
761	19574	6113
762	19596	6086
763	19619	6060
764	19638	6032
765	19663	6006
766	19684	5979
767	19707	5953
768	19732	5927
769	19754	5900
770	19776	5873
771	19795	5846
772	19823	5821
773	19848	5795
774	19868	5768
775	19888	5740
776	19914	5715
777	19938	5689
778	19962	5663
779	19990	5638
780	20011	5611
781	20037	5585
782	20063	5560
783	20087	5534
784	20109	5507
785	20130	5480
786	20153	5454
787	20176	5428
788	20202	5402
789	20224	5376
790	20247	5349
791	20271	5323
792	20300	5298
793	20318	5271
794	20338	5244
795	20361	5218
796	20384	5192
797	20408	5166
798	20433	5140
799	20452	5113
800	20468	5085
801	20493	5059
802	20512	5032
803	20532	5005
804	20558	4979
805	20582	4954
806	20604	4927
807	20628	4901
808	20655	4876
809	20680	4851
810	20703	4824
811	20731	4799
812	20755	4774
813	20780	4748
814	20802	4721
815	20822	4695
816	20845	4669
817	20868	4643
818	20893	4617
819	20917	4591
820	20946	4566
821	20970	4540
822	20994	4515
823	21019	4489
824	21041	4463
825	21064	4437
826	21087	4411
827	21114	4386
828	21138	4360
829	21157	4333
830	21180	4307
831	21200	4280
832	21226	4255
833	21249	4229
834	21274	4204
835	21295	4177
836	21318	4151
837	21344	4126
838	21370	4100
839	21388	4073
840	21410	4047
841	21432	4021
842	21458	3996
843	21480	3970
844	21504	3944
845	21526	3918
846	21549	3892
847	21572	3866
848	21597	3841
849	21621	3815
850	21645	3789
851	21666	3763
852	21689	3737
853	21708	3711
854	21726	3684
855	21749	3658
856	21769	3632
857	21793	3606
858	21817	3581
859	21836	3554
860	21858	3528
861	21887	3504
862	21913	3478
863	21938	3453
864	21962	3427
865	21987	3402
866	22013	3376
867	22036	3351
868	22059	3325
869	22082	3299
870	22101	3273
871	22125	3247
872	22152	3222
873	22174	3196
874	22197	3171
875	22224	3145
876	22247	3120
877	22266	3093
878	22290	3068
879	22318	3043
880	22340	3017
881	22362	2991
882	22383	2965
883	22410	2940
884	22432	2914
885	22458	2889
886	22486	2864
887	22513	2839
888	22540	2814
889	22563	2788
890	22588	2763
891	22614	2738
892	22643	2713
893	22668	2687
894	22689	2661
895	22711	2636
896	22739	2611
897	22763	2585
898	22785	2559
899	22807	2534
900	22829	2508
901	22853	2482
902	22875	2457
903	22902	2432
904	22928	2406
905	22949	2381
906	22971	2355
907	22996	2330
908	23017	2304
909	23037	2278
910	23062	2253
911	23089	2227
912	23114	2202
913	23137	2177
914	23162	2151
915	23180	2125
916	23199	2099
917	23221	2074
918	23246	2048
919	23272	2023
920	23288	1997
921	23314	1972
922	23333	1946
923	23355	1921
924	23375	1895
925	23401	1870
926	23423	1844
927	23443	1818
928	23468	1793
929	23493	1768
930	23512	1742
931	23531	1716
932	23559	1691
933	23583	1666
934	23607	1641
935	23628	1615
936	23645	1589
937	23662	1564
938	23691	1539
939	23717	1513
940	23738	1488
941	23759	1462
942	23782	1437
943	23802	1412
944	23821	1386
945	23841	1360
946	23866	1335
947	23893	1310
948	23922	1285
949	23943	1260
950	23970	1235
951	23999	1210
952	24021	1184
953	24040	1159
954	24065	1133
955	24093	1108
956	24125	1083
957	24148	1058
958	24168	1033
959	24189	1007
960	24210	982
961	24234	957
962	24257	932
963	24287	906
964	24313	881
965	24348	856
966	24379	831
967	24406	806
968	24425	781
969	24451	756
970	24474	730
971	24500	705
972	24518	680
973	24541	655
974	24565	629
975	24595	604
976	24621	579
977	24647	554
978	24674	529
979	24699	504
980	24726	478
981	24747	453
982	24770	428
983	24794	403
984	24812	377
985	24836	352
986	24861	327
987	24882	302
988	24898	276
989	24925	251
990	24951	226
991	24975	201
992	24998	176
993	25026	151
994	25050	125
995	25071	100
996	25099	75
997	25119	50
998	25144	25
999	25170	0
